0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 -5.235988e-01 -1.047198e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
-7.931196e-08 -4.308520e-09 -1.334044e-08 5.051499e-07 5.290397e-08 4.814657e-07 -5.235971e-01 -1.047195e+00 1.291864e-06 -2.379279e-06 -1.292505e-07 -4.002018e-07 1.515400e-05 1.587060e-06 1.444351e-05 5.167288e-05 6.459110e-05 3.875466e-05 -6.540112e-08 
-6.342779e-07 -3.444918e-08 -1.067224e-07 4.040142e-06 4.230245e-07 3.850948e-06 -5.235850e-01 -1.047180e+00 1.033339e-05 -9.514614e-06 -5.167853e-07 -1.600607e-06 6.060178e-05 6.345985e-06 5.776161e-05 2.066405e-04 2.583006e-04 1.549804e-04 -1.040778e-06 
-2.140444e-06 -1.162629e-07 -3.601009e-07 1.363350e-05 1.427630e-06 1.299478e-05 -5.235523e-01 -1.047139e+00 3.486657e-05 -2.139868e-05 -1.162064e-06 -3.600375e-06 1.362997e-04 1.427084e-05 1.299147e-04 4.647500e-04 5.809375e-04 3.485625e-04 -5.286289e-06 
-5.072089e-06 -2.754557e-07 -8.533881e-07 3.230697e-05 3.382669e-06 3.079365e-05 -5.234886e-01 -1.047060e+00 8.261814e-05 -3.801861e-05 -2.063812e-06 -6.398923e-06 2.421780e-04 2.534886e-05 2.308447e-04 8.257465e-04 1.032183e-03 6.193099e-04 -1.670532e-05 
-9.901617e-06 -5.375240e-07 -1.666499e-06 6.307286e-05 6.602042e-06 6.012103e-05 -5.233837e-01 -1.046929e+00 1.612919e-04 -5.935567e-05 -3.219811e-06 -9.996395e-06 3.781427e-04 3.955879e-05 3.604790e-04 1.289274e-03 1.611592e-03 9.669555e-04 -4.072065e-05 
-1.709956e-05 -9.277551e-07 -2.879353e-06 1.089341e-04 1.139760e-05 1.038432e-04 -5.232274e-01 -1.046733e+00 2.785612e-04 -8.538522e-05 -4.626894e-06 -1.439366e-05 5.440755e-04 5.687089e-05 5.187310e-04 1.854875e-03 2.318593e-03 1.391156e-03 -8.427452e-05 
-2.713178e-05 -1.470700e-06 -4.572752e-06 1.728780e-04 1.807466e-05 1.648213e-04 -5.230094e-01 -1.046461e+00 4.420611e-04 -1.160757e-04 -6.280363e-06 -1.959359e-05 7.398384e-04 7.724299e-05 7.055126e-04 2.521991e-03 3.152488e-03 1.891493e-03 -1.555923e-04 
-4.046379e-05 -2.191092e-06 -6.826558e-06 2.578816e-04 2.693958e-05 2.459011e-04 -5.227196e-01 -1.046099e+00 6.593813e-04 -1.513897e-04 -8.174643e-06 -2.559967e-05 9.652691e-04 1.006241e-04 9.207194e-04 3.289964e-03 4.112455e-03 2.467473e-03 -2.646327e-04 
-5.755880e-05 -3.113296e-06 -9.720507e-06 3.669078e-04 3.829539e-05 3.499148e-04 -5.223480e-01 -1.045634e+00 9.380582e-04 -1.912838e-04 -1.030291e-05 -3.241674e-05 1.220184e-03 1.269521e-04 1.164239e-03 4.158036e-03 5.197544e-03 3.118527e-03 -4.229128e-04 
-7.887287e-05 -4.260293e-06 -1.333596e-05 5.028965e-04 5.243329e-05 4.796875e-04 -5.218847e-01 -1.045055e+00 1.285568e-03 -2.357062e-04 -1.265618e-05 -4.005310e-05 1.504384e-03 1.561477e-04 1.435971e-03 5.125350e-03 6.406687e-03 3.844012e-03 -6.430626e-04 
-1.048549e-04 -5.653686e-06 -1.775592e-05 6.687639e-04 6.963264e-05 6.380375e-04 -5.213197e-01 -1.044349e+00 1.709318e-03 -2.845974e-04 -1.522328e-05 -4.852047e-05 1.817657e-03 1.881142e-04 1.735827e-03 6.190951e-03 7.738689e-03 4.643214e-03 -9.388253e-04 
-1.359467e-04 -7.313691e-06 -2.306501e-05 8.674029e-04 9.016097e-05 8.277761e-04 -5.206433e-01 -1.043503e+00 2.216641e-03 -3.378896e-04 -1.799086e-05 -5.783401e-05 2.159777e-03 2.227382e-04 2.063731e-03 7.353789e-03 9.192237e-03 5.515342e-03 -1.325057e-03 
-1.725827e-04 -9.259144e-06 -2.934948e-05 1.101683e-03 1.142740e-04 1.051708e-03 -5.198457e-01 -1.042506e+00 2.814789e-03 -3.955071e-04 -2.094341e-05 -6.801230e-05 2.530504e-03 2.598888e-04 2.419621e-03 8.612715e-03 1.076589e-02 6.459537e-03 -1.817729e-03 
-2.151906e-04 -1.150750e-05 -3.669722e-05 1.374451e-03 1.422156e-04 1.312629e-03 -5.189175e-01 -1.041346e+00 3.510920e-03 -4.573663e-04 -2.406322e-05 -7.907736e-05 2.929582e-03 2.994179e-04 2.803445e-03 9.966488e-03 1.245811e-02 7.474866e-03 -2.433922e-03 
-2.641905e-04 -1.407482e-05 -4.519775e-05 1.688529e-03 1.742178e-04 1.613332e-03 -5.178493e-01 -1.040011e+00 4.312100e-03 -5.233754e-04 -2.733043e-05 -9.105466e-05 3.356743e-03 3.411605e-04 3.215164e-03 1.141377e-02 1.426721e-02 8.560328e-03 -3.191833e-03 
-3.199956e-04 -1.697581e-05 -5.494220e-05 2.046718e-03 2.105009e-04 1.956599e-03 -5.166317e-01 -1.038489e+00 5.225288e-03 -5.934346e-04 -3.072300e-05 -1.039731e-04 3.811704e-03 3.849343e-04 3.654752e-03 1.295313e-02 1.619142e-02 9.714851e-03 -4.110772e-03 
